Country,Party ID,Party Abbrev,Party Name,Party Name  (English)
SLOVAK,2806,ANO,Aliancia  NovÇho  Ob?ana,Alliance  for a New Citizen
SLOVAK,2807,KSS,Komunistick† strana Slovenska,Communist Party of Slovakia
SLOVAK,2808,PSNS,Prav† Slovensk†  n†rodn† strana,Right Slovak  National Party
SLOVAK,2809,SNS,Slovensk†  n†rodn† strana,Slovak  National Party
SLOVAK,2810,HZD,Hnutie za demokraciu,Movement for Democracy
SLOVAK,2811,SF,SlobodnÇ  f¢rum,Free  Forum
SLOVAK,2812,SaS,Sloboda  a Solidarita,Freedom and  Solidarity
SLOVAK,2813,Most,Most-Hid,Most-Hid
SLOVEN  ,2901,LDS,Liberalna demoracija Slovenije,Liberal  Democracy of Slovenia
SLOVEN  ,2902,SDSS; SDS,Socialdemokratska stranka Slovenije;,Social Democratic Party of Slovenia;
SLOVEN  ,,,Slovenska  demokratska stranka,Slovenian  Democratic Party
SLOVEN  ,2903,ZLSD,Zdru?ena lista  socialnih  demokratov,United  List  of Social Democrats
SLOVEN  ,2904,SLS-SKD;,Slovenska  Ljudska Stranka;,Slovenian  People?s  Party-Slovenian
SLOVEN  ,,SLS,Slovenska  ljudska  stranka,Christian Democrats; Slovenian  People?s  Party
SLOVEN  ,2905,NSI,Nova Slovenija-Kr?canska ljudska  stranka,New Slovenia-Christian People?s  Party
SLOVEN  ,2906,DeSUS,Demokrati?na stranka upokojencev Slovenije,Democratic Party of Pensioners of Slovenia
SLOVEN  ,2907,SNS,Slovenska  nacionalna stranka,Slovenian  National Party
SLOVEN  ,2908,SMS,Stranka Mladih  Slovenije,Party of the  Slovenia  Youth
SLOVEN  ,2909,AS,Aktivna Slovenija,Active  Slovenia
SLOVEN  ,2910,Zares,Zares,Zares?For Real
