"Country","CHES.party.id","ParlGov.party.id","Recommended.CHES.party.id","Disagreement","Verified","Abnormalities","CHES.Party.Abbrev","Parlgov.Party.Abbrev","CHES.Party.Name","Parlgov.Party.Name","CHES.Party.Name.English","Parlgov.Party.Name.English"
"Netherlands",1003,1409,1003,FALSE,TRUE,NA,"VVD","VVD","Volkspartij voor Vrijheid en Demokratie","Volkspartij voor Vrijheid en Democratie","People’s Party for Freedom and Democracy","People's Party for Freedom and Democracy"
"Netherlands",1004,345,1004,FALSE,TRUE,NA,"D66","D66","Democraten 66","Democraten 66","Democrats 66","Libertarians"
"Netherlands",1005,756,1005,FALSE,TRUE,NA,"GL","GL","Groen Links","GroenLinks","Green Left","GreenLeft"
"Netherlands",1007,625,1007,FALSE,TRUE,NA,"GPV","GPV","Gereformeerd Politiek Verbond","Gereformeerd Politiek Verbond","Reformed Political League","Reformed Political League"
"Netherlands",1008,212,1008,FALSE,TRUE,NA,"RPF","RPF","Reformatorische Politieke Federatie","Reformatorisch Politieke Federatie","Reformational Political Federation","Reformatory Political Federation"
"Netherlands",1009,209,1009,FALSE,TRUE,NA,"CD","CD","Centrum Democraten","Centrum Democraten","Center Democrats","Centre Democrats"
"Netherlands",1014,357,1014,FALSE,TRUE,NA,"SP","SP","Socialistische Partij","Socialistiese Partij","Socialist Party","Socialist Party"
"Netherlands",1015,456,1015,FALSE,TRUE,NA,"LPF","LPF","Lijst Pim Fortuyn","Lijst Pim Fortuyn","Lijst Pim Fortuyn","Fortuyn List"
"Netherlands",1016,1206,1016,FALSE,TRUE,NA,"CU","CU","Christen Unie","ChristenUnie – Staatkundig Gereformeerde Partij","Christian Union","ChristianUnion -- Reformed Political Party"
"Netherlands",1017,1501,1017,FALSE,TRUE,NA,"PVV","PVV","Partij voor de Vrijheid","Partij voor de Vrijheid","Party for Freedom","Party for Freedom"
